app_name,platform,sector,text,rating,date,city,version
Uber,google_play,نقل,تطبيق سهل الاستخدام,4,2025-04-07,الرياض,latest
Bolt,google_play,نقل,أفضل تطبيق نقل,5,2025-04-07,الرياض,latest
Jeeny,google_play,نقل,تطبيق ممتاز وسهل الاستخدام,5,2025-04-07,مكة المكرمة,latest
Jeeny,google_play,نقل,الأسعار معقولة,4,2025-04-07,الرياض,latest
Jahez,google_play,توصيل,توصيل سريع والطلب مكتمل,4,2025-04-07,الرياض,latest
TheChefs,google_play,توصيل,الطلب وصل لكن متأخر,3,2025-04-07,مكة المكرمة,latest
ToYou,google_play,توصيل,توصيل سريع جداً والطعام ممتاز,5,2025-04-07,الرياض,latest
Mostaql,google_play,عمل_حر,المنافسة كبيرة والأسعار منخفضة,2,2025-04-07,جدة,latest
Mostaql,google_play,عمل_حر,فرص موجودة لكن المنافسة عالية,3,2025-04-07,الدمام,latest
Khamsat,google_play,عمل_حر,سهلة الاستخدام للفريلانسر,4,2025-04-07,الطائف,latest
Uber,google_play,نقل,تطبيق سهل الاستخدام,4,2025-04-08,جدة,latest
Kayan,google_play,نقل,أفضل تطبيق نقل,5,2025-04-08,تبوك,latest
HungerStation,google_play,توصيل,الطعام وصل طازجاً,4,2025-04-08,المدينة المنورة,latest
Jahez,google_play,توصيل,توصيل سريع جداً والطعام ممتاز,5,2025-04-08,جدة,latest
Khamsat,google_play,عمل_حر,تجربة رائعة ننصح بها,5,2025-04-08,الرياض,latest
Sary,google_play,عمل_حر,تجربة رائعة ننصح بها,5,2025-04-08,جدة,latest
HungerStation,google_play,توصيل,توصيل سريع والطلب مكتمل,4,2025-04-09,الرياض,latest
HungerStation,google_play,توصيل,توصيل متوسط يحتاج تحسين,3,2025-04-09,تبوك,latest
Jahez,google_play,توصيل,أفضل تطبيق توصيل,5,2025-04-09,الدمام,latest
Keeta,google_play,توصيل,التوصيل أبطأ من المعتاد,2,2025-04-09,جدة,latest
Khamsat,google_play,عمل_حر,منصة موثوقة جداً,5,2025-04-09,الخبر,latest
Sary,google_play,عمل_حر,فرص عمل متنوعة,4,2025-04-09,الرياض,latest
Careem,google_play,نقل,أفضل تطبيق نقل,5,2025-04-10,الرياض,latest
Jeeny,google_play,نقل,السائق ألغى الرحلة بدون سبب,1,2025-04-10,الدمام,latest
Wasselni,google_play,نقل,خدمة جيدة والسائقين محترمين,4,2025-04-10,جدة,latest
Wasselni,google_play,نقل,تطبيق ممتاز وسهل الاستخدام,5,2025-04-10,جدة,latest
Jahez,google_play,توصيل,خدمة رائعة دائماً,5,2025-04-10,جدة,latest
Mrsool,google_play,توصيل,توصيل متوسط يحتاج تحسين,3,2025-04-10,الرياض,latest
TheChefs,google_play,توصيل,تجربة مميزة جداً,5,2025-04-10,جدة,latest
Mostaql,google_play,عمل_حر,بعض العملاء غير جادين,2,2025-04-10,الرياض,latest
Khamsat,google_play,عمل_حر,سهلة الاستخدام للفريلانسر,4,2025-04-10,جدة,latest
Uber,google_play,نقل,بعض السائقين غير محترفين,2,2025-04-11,تبوك,latest
Uber,google_play,نقل,نسبة التطبيق عالية جداً ما تستاهل,1,2025-04-11,جدة,latest
Wasselni,google_play,نقل,سائق محترم وسيارة نظيفة,5,2025-04-11,الدمام,latest
HungerStation,google_play,توصيل,الطلب وصل بارداً وناقصاً,1,2025-04-11,الدمام,latest
HungerStation,google_play,توصيل,خدمة عادية,3,2025-04-11,جدة,latest
TheChefs,google_play,توصيل,تجربة مميزة جداً,5,2025-04-11,الدمام,latest
TheChefs,google_play,توصيل,خدمة رائعة دائماً,5,2025-04-11,الرياض,latest
ToYou,google_play,توصيل,خدمة عادية,3,2025-04-11,مكة المكرمة,latest
Mostaql,google_play,عمل_حر,منصة جيدة وفرص كثيرة,4,2025-04-11,الطائف,latest
Careem,google_play,نقل,خدمة متوسطة تحتاج تحسين,3,2025-04-12,الرياض,latest
Jeeny,google_play,نقل,التطبيق جيد لكن الأسعار مرتفعة,3,2025-04-12,الدمام,latest
Wasselni,google_play,نقل,الأسعار معقولة,4,2025-04-12,المدينة المنورة,latest
HungerStation,google_play,توصيل,توصيل سريع والطلب مكتمل,4,2025-04-12,الدمام,latest
ToYou,google_play,توصيل,الطلب وصل ناقص ولا تعويض,2,2025-04-12,الرياض,latest
Jeeny,google_play,نقل,خدمة عادية,3,2025-04-13,الخبر,latest
Jeeny,google_play,نقل,خدمة جيدة والسائقين محترمين,4,2025-04-13,جدة,latest
TheChefs,google_play,توصيل,خدمة رائعة دائماً,5,2025-04-13,الخبر,latest
ToYou,google_play,توصيل,أفضل تطبيق توصيل,5,2025-04-13,الخبر,latest
Uber,google_play,نقل,نسبة التطبيق عالية جداً ما تستاهل,1,2025-04-14,الخبر,latest
Careem,google_play,نقل,السائق ألغى الرحلة بدون سبب,1,2025-04-14,المدينة المنورة,latest
Wasselni,google_play,نقل,خدمة رائعة ننصح بها,5,2025-04-14,الرياض,latest
Jahez,google_play,توصيل,تطبيق سهل وتوصيل جيد,4,2025-04-14,الرياض,latest
Mrsool,google_play,توصيل,توصيل سريع والطلب مكتمل,4,2025-04-14,الدمام,latest
Keeta,google_play,توصيل,توصيل سريع جداً والطعام ممتاز,5,2025-04-14,المدينة المنورة,latest
Khamsat,google_play,عمل_حر,تجربة رائعة ننصح بها,5,2025-04-14,جدة,latest
Bolt,google_play,نقل,تجربة جيدة بشكل عام,4,2025-04-15,الدمام,latest
Jeeny,google_play,نقل,خدمة رائعة ننصح بها,5,2025-04-15,الدمام,latest
Wasselni,google_play,نقل,التطبيق يعلق أحياناً,2,2025-04-15,الخبر,latest
Kayan,google_play,نقل,تطبيق سهل الاستخدام,4,2025-04-15,الرياض,latest
HungerStation,google_play,توصيل,خدمة رائعة دائماً,5,2025-04-15,أبها,latest
Mrsool,google_play,توصيل,تجربة جيدة,4,2025-04-15,الدمام,latest
ToYou,google_play,توصيل,التوصيل أبطأ من المعتاد,2,2025-04-15,الدمام,latest
ToYou,google_play,توصيل,تجربة جيدة,4,2025-04-15,جدة,latest
Khamsat,google_play,عمل_حر,الزبون ما دفع بعد تسليم العمل,1,2025-04-15,الدمام,latest
Sary,google_play,عمل_حر,فرص عمل متنوعة,4,2025-04-15,الرياض,latest
Sary,google_play,عمل_حر,تجربة رائعة ننصح بها,5,2025-04-15,جدة,latest
Careem,google_play,نقل,تطبيق سهل الاستخدام,4,2025-04-16,الرياض,latest
Kayan,google_play,نقل,الأسعار معقولة,4,2025-04-16,الطائف,latest
HungerStation,google_play,توصيل,أحياناً تأخير كبير,2,2025-04-16,الدمام,latest
Jahez,google_play,توصيل,الطعام وصل طازجاً,4,2025-04-16,مكة المكرمة,latest
Keeta,google_play,توصيل,خدمة رائعة دائماً,5,2025-04-16,جدة,latest
Sary,google_play,عمل_حر,أفضل منصة عمل حر عربية,5,2025-04-16,الدمام,latest
Bolt,google_play,نقل,خدمة جيدة والسائقين محترمين,4,2025-04-17,الخبر,latest
Bolt,google_play,نقل,تجربة جيدة بشكل عام,4,2025-04-17,جدة,latest
Kayan,google_play,نقل,سائق محترم وسيارة نظيفة,5,2025-04-17,الرياض,latest
HungerStation,google_play,توصيل,توصيل متوسط يحتاج تحسين,3,2025-04-17,الرياض,latest
TheChefs,google_play,توصيل,تطبيق سهل وتوصيل جيد,4,2025-04-17,جدة,latest
ToYou,google_play,توصيل,تجربة مميزة جداً,5,2025-04-17,المدينة المنورة,latest
ToYou,google_play,توصيل,خدمة رائعة دائماً,5,2025-04-17,مكة المكرمة,latest
Uber,google_play,نقل,تطبيق سهل الاستخدام,4,2025-04-18,الدمام,latest
Jeeny,google_play,نقل,تطبيق سهل الاستخدام,4,2025-04-18,تبوك,latest
Wasselni,google_play,نقل,تطبيق ممتاز وسهل الاستخدام,5,2025-04-18,مكة المكرمة,latest
Kayan,google_play,نقل,الانتظار طويل أحياناً,2,2025-04-18,جدة,latest
HungerStation,google_play,توصيل,تجربة مميزة جداً,5,2025-04-18,الخبر,latest
TheChefs,google_play,توصيل,توصيل سريع جداً والطعام ممتاز,5,2025-04-18,تبوك,latest
ToYou,google_play,توصيل,الطلب وصل لكن متأخر,3,2025-04-18,جدة,latest
Khamsat,google_play,عمل_حر,فرص موجودة لكن المنافسة عالية,3,2025-04-18,المدينة المنورة,latest
Sary,google_play,عمل_حر,تجربة جيدة بشكل عام,4,2025-04-18,الدمام,latest
Bolt,google_play,نقل,الأسعار مرتفعة مقارنة بالمنافسين,2,2025-04-19,الرياض,latest
HungerStation,google_play,توصيل,تطبيق سهل وتوصيل جيد,4,2025-04-19,جدة,latest
Jahez,google_play,توصيل,تجربة جيدة,4,2025-04-19,تبوك,latest
Keeta,google_play,توصيل,مقبول لكن يحتاج تطوير,3,2025-04-19,الدمام,latest
Bolt,google_play,نقل,خدمة متوسطة تحتاج تحسين,3,2025-04-20,الرياض,latest
HungerStation,google_play,توصيل,تجربة مميزة جداً,5,2025-04-20,الدمام,latest
Jahez,google_play,توصيل,الطلب وصل ناقص ولا تعويض,2,2025-04-20,تبوك,latest
ToYou,google_play,توصيل,مقبول لكن يحتاج تطوير,3,2025-04-20,الرياض,latest
Mostaql,google_play,عمل_حر,مقبولة للمبتدئين,3,2025-04-20,الرياض,latest
Uber,google_play,نقل,خدمة جيدة والسائقين محترمين,4,2025-04-21,الدمام,latest
Bolt,google_play,نقل,الأسعار معقولة,4,2025-04-21,مكة المكرمة,latest
Jeeny,google_play,نقل,سائق محترم وسيارة نظيفة,5,2025-04-21,مكة المكرمة,latest
Wasselni,google_play,نقل,سائق محترم وسيارة نظيفة,5,2025-04-21,جدة,latest
Kayan,google_play,نقل,تجربة جيدة بشكل عام,4,2025-04-21,جدة,latest
TheChefs,google_play,توصيل,تطبيق سهل وتوصيل جيد,4,2025-04-21,الدمام,latest
ToYou,google_play,توصيل,الطلب وصل لكن متأخر,3,2025-04-21,الخبر,latest
Keeta,google_play,توصيل,أفضل تطبيق توصيل,5,2025-04-21,الرياض,latest
Careem,google_play,نقل,خدمة رائعة ننصح بها,5,2025-04-22,الطائف,latest
HungerStation,google_play,توصيل,الطلب وصل بارداً وناقصاً,1,2025-04-22,الدمام,latest
HungerStation,google_play,توصيل,تطبيق سهل وتوصيل جيد,4,2025-04-22,الرياض,latest
TheChefs,google_play,توصيل,تطبيق سهل وتوصيل جيد,4,2025-04-22,الدمام,latest
Mostaql,google_play,عمل_حر,فرص عمل متنوعة,4,2025-04-22,مكة المكرمة,latest
Careem,google_play,نقل,تطبيق ممتاز وسهل الاستخدام,5,2025-04-23,مكة المكرمة,latest
Careem,google_play,نقل,مقبول لكن يمكن أفضل,3,2025-04-23,الدمام,latest
Bolt,google_play,نقل,خدمة عادية,3,2025-04-23,الرياض,latest
Jeeny,google_play,نقل,خدمة جيدة والسائقين محترمين,4,2025-04-23,مكة المكرمة,latest
Jeeny,google_play,نقل,خدمة جيدة والسائقين محترمين,4,2025-04-23,الدمام,latest
HungerStation,google_play,توصيل,تجربة مميزة جداً,5,2025-04-23,جدة,latest
Mostaql,google_play,عمل_حر,منصة موثوقة جداً,5,2025-04-23,الرياض,latest
Kayan,google_play,نقل,خدمة رائعة ننصح بها,5,2025-04-24,الدمام,latest
Kayan,google_play,نقل,خدمة رائعة ننصح بها,5,2025-04-24,جدة,latest
HungerStation,google_play,توصيل,خدمة العملاء ما تفيد أبداً,1,2025-04-24,الرياض,latest
Mrsool,google_play,توصيل,الطلب وصل ناقص ولا تعويض,2,2025-04-24,الطائف,latest
TheChefs,google_play,توصيل,أفضل تطبيق توصيل,5,2025-04-24,الرياض,latest
TheChefs,google_play,توصيل,توصيل سريع جداً والطعام ممتاز,5,2025-04-24,مكة المكرمة,latest
TheChefs,google_play,توصيل,توصيل سريع والطلب مكتمل,4,2025-04-24,الرياض,latest
Keeta,google_play,توصيل,الطعام وصل طازجاً,4,2025-04-24,الرياض,latest
Keeta,google_play,توصيل,توصيل سريع جداً والطعام ممتاز,5,2025-04-24,جدة,latest
Mostaql,google_play,عمل_حر,منصة جيدة وفرص كثيرة,4,2025-04-24,جدة,latest
Khamsat,google_play,عمل_حر,حصلت على عملاء ممتازين,5,2025-04-24,الرياض,latest
Sary,google_play,عمل_حر,منصة موثوقة جداً,5,2025-04-24,الدمام,latest
Uber,google_play,نقل,بعض السائقين غير محترفين,2,2025-04-25,الدمام,latest
Bolt,google_play,نقل,خدمة جيدة والسائقين محترمين,4,2025-04-25,مكة المكرمة,latest
Bolt,google_play,نقل,التطبيق جيد لكن الأسعار مرتفعة,3,2025-04-25,الخبر,latest
HungerStation,google_play,توصيل,توصيل سريع جداً والطعام ممتاز,5,2025-04-25,جدة,latest
HungerStation,google_play,توصيل,توصيل سريع جداً والطعام ممتاز,5,2025-04-25,المدينة المنورة,latest
Mrsool,google_play,توصيل,توصيل سريع والطلب مكتمل,4,2025-04-25,الرياض,latest
ToYou,google_play,توصيل,أسوأ تجربة توصيل,1,2025-04-25,الرياض,latest
Sary,google_play,عمل_حر,سهلة الاستخدام للفريلانسر,4,2025-04-25,الخبر,latest
Uber,google_play,نقل,خدمة عادية,3,2025-04-26,جدة,latest
Jahez,google_play,توصيل,توصيل سريع جداً والطعام ممتاز,5,2025-04-26,الرياض,latest
ToYou,google_play,توصيل,خدمة عادية,3,2025-04-26,الدمام,latest
Khamsat,google_play,عمل_حر,تجربة رائعة ننصح بها,5,2025-04-26,جدة,latest
Careem,google_play,نقل,خدمة عادية,3,2025-04-27,تبوك,latest
Jeeny,google_play,نقل,سائق محترم وسيارة نظيفة,5,2025-04-27,مكة المكرمة,latest
TheChefs,google_play,توصيل,أفضل تطبيق توصيل,5,2025-04-27,جدة,latest
ToYou,google_play,توصيل,خدمة عادية,3,2025-04-27,الدمام,latest
ToYou,google_play,توصيل,أسوأ تجربة توصيل,1,2025-04-27,الخبر,latest
Keeta,google_play,توصيل,جودة الطعام متأثرة بالوقت,2,2025-04-27,الرياض,latest
Khamsat,google_play,عمل_حر,حصلت على عملاء ممتازين,5,2025-04-27,الرياض,latest
Khamsat,google_play,عمل_حر,سهلة الاستخدام للفريلانسر,4,2025-04-27,الطائف,latest
Khamsat,google_play,عمل_حر,أفضل منصة عمل حر عربية,5,2025-04-27,جدة,latest
Uber,google_play,نقل,الأسعار معقولة,4,2025-04-28,المدينة المنورة,latest
Careem,google_play,نقل,تجربة جيدة بشكل عام,4,2025-04-28,الرياض,latest
Bolt,google_play,نقل,تجربة جيدة بشكل عام,4,2025-04-28,جدة,latest
Kayan,google_play,نقل,خدمة جيدة والسائقين محترمين,4,2025-04-28,جدة,latest
Jahez,google_play,توصيل,خدمة العملاء ما تفيد أبداً,1,2025-04-28,جدة,latest
Keeta,google_play,توصيل,توصيل سريع جداً والطعام ممتاز,5,2025-04-28,مكة المكرمة,latest
Careem,google_play,نقل,الأسعار معقولة,4,2025-04-29,جدة,latest
Bolt,google_play,نقل,خدمة عادية,3,2025-04-29,جدة,latest
Jeeny,google_play,نقل,نسبة التطبيق عالية جداً ما تستاهل,1,2025-04-29,جدة,latest
HungerStation,google_play,توصيل,توصيل سريع جداً والطعام ممتاز,5,2025-04-29,الرياض,latest
HungerStation,google_play,توصيل,الطلب وصل لكن متأخر,3,2025-04-29,الرياض,latest
HungerStation,google_play,توصيل,توصيل سريع جداً والطعام ممتاز,5,2025-04-29,مكة المكرمة,latest
TheChefs,google_play,توصيل,خدمة رائعة دائماً,5,2025-04-29,الرياض,latest
Keeta,google_play,توصيل,الطلب وصل بارداً وناقصاً,1,2025-04-29,جدة,latest
Khamsat,google_play,عمل_حر,تجربة جيدة بشكل عام,4,2025-04-29,الرياض,latest
Sary,google_play,عمل_حر,منصة متوسطة للعمل الحر,3,2025-04-29,تبوك,latest
Uber,google_play,نقل,التطبيق يعلق أحياناً,2,2025-04-30,الرياض,latest
HungerStation,google_play,توصيل,الطلب وصل لكن متأخر,3,2025-04-30,الرياض,latest
HungerStation,google_play,توصيل,التوصيل تأخر ساعتين كاملتين,1,2025-04-30,الرياض,latest
HungerStation,google_play,توصيل,أفضل تطبيق توصيل,5,2025-04-30,الرياض,latest
Keeta,google_play,توصيل,خدمة رائعة دائماً,5,2025-04-30,جدة,latest
Khamsat,google_play,عمل_حر,أفضل منصة عمل حر عربية,5,2025-04-30,الدمام,latest
Sary,google_play,عمل_حر,فرص موجودة لكن المنافسة عالية,3,2025-04-30,الخبر,latest
Bolt,google_play,نقل,الأسعار معقولة,4,2025-05-01,مكة المكرمة,latest
Bolt,google_play,نقل,التطبيق جيد لكن الأسعار مرتفعة,3,2025-05-01,تبوك,latest
Jeeny,google_play,نقل,خدمة متوسطة تحتاج تحسين,3,2025-05-01,جدة,latest
Wasselni,google_play,نقل,الأسعار مبالغ فيها كثيراً,1,2025-05-01,جدة,latest
Wasselni,google_play,نقل,نسبة التطبيق عالية جداً ما تستاهل,1,2025-05-01,الرياض,latest
Kayan,google_play,نقل,سائق محترم وسيارة نظيفة,5,2025-05-01,المدينة المنورة,latest
HungerStation,google_play,توصيل,خدمة العملاء ما تفيد أبداً,1,2025-05-01,أبها,latest
Keeta,google_play,توصيل,خدمة رائعة دائماً,5,2025-05-01,جدة,latest
Khamsat,google_play,عمل_حر,العمولة مرتفعة,2,2025-05-01,الرياض,latest
Sary,google_play,عمل_حر,تجربة جيدة بشكل عام,4,2025-05-01,الرياض,latest
Bolt,google_play,نقل,أفضل تطبيق نقل,5,2025-05-02,الرياض,latest
Bolt,google_play,نقل,خدمة عادية,3,2025-05-02,الدمام,latest
Bolt,google_play,نقل,التطبيق جيد لكن الأسعار مرتفعة,3,2025-05-02,مكة المكرمة,latest
HungerStation,google_play,توصيل,خدمة العملاء ما تفيد أبداً,1,2025-05-02,الرياض,latest
Mrsool,google_play,توصيل,التوصيل تأخر ساعتين كاملتين,1,2025-05-02,تبوك,latest
ToYou,google_play,توصيل,تجربة جيدة,4,2025-05-02,الدمام,latest
Khamsat,google_play,عمل_حر,فرص عمل متنوعة,4,2025-05-02,الرياض,latest
Sary,google_play,عمل_حر,منافسة غير عادلة بالأسعار,1,2025-05-02,مكة المكرمة,latest
Uber,google_play,نقل,الأسعار معقولة,4,2025-05-03,جدة,latest
Bolt,google_play,نقل,الأسعار معقولة,4,2025-05-03,الدمام,latest
Jeeny,google_play,نقل,التطبيق يعلق أحياناً,2,2025-05-03,مكة المكرمة,latest
Kayan,google_play,نقل,تجربة جيدة بشكل عام,4,2025-05-03,الرياض,latest
HungerStation,google_play,توصيل,تجربة مميزة جداً,5,2025-05-03,الرياض,latest
Keeta,google_play,توصيل,أحياناً تأخير كبير,2,2025-05-03,الرياض,latest
Khamsat,google_play,عمل_حر,تجربة سيئة,1,2025-05-03,الرياض,latest
Sary,google_play,عمل_حر,تجربة جيدة بشكل عام,4,2025-05-03,الرياض,latest
Careem,google_play,نقل,تطبيق ممتاز وسهل الاستخدام,5,2025-05-04,الرياض,latest
Careem,google_play,نقل,سائق محترم وسيارة نظيفة,5,2025-05-04,المدينة المنورة,latest
HungerStation,google_play,توصيل,توصيل متوسط يحتاج تحسين,3,2025-05-04,الرياض,latest
TheChefs,google_play,توصيل,خدمة رائعة دائماً,5,2025-05-04,المدينة المنورة,latest
Keeta,google_play,توصيل,أسوأ تجربة توصيل,1,2025-05-04,تبوك,latest
Bolt,google_play,نقل,سائق محترم وسيارة نظيفة,5,2025-05-05,الرياض,latest
Wasselni,google_play,نقل,خدمة جيدة والسائقين محترمين,4,2025-05-05,الدمام,latest
HungerStation,google_play,توصيل,أفضل تطبيق توصيل,5,2025-05-05,الخبر,latest
HungerStation,google_play,توصيل,خدمة رائعة دائماً,5,2025-05-05,الرياض,latest
Jahez,google_play,توصيل,تطبيق سهل وتوصيل جيد,4,2025-05-05,الدمام,latest
TheChefs,google_play,توصيل,تجربة جيدة,4,2025-05-05,الرياض,latest
TheChefs,google_play,توصيل,تطبيق سهل وتوصيل جيد,4,2025-05-05,الرياض,latest
Keeta,google_play,توصيل,تطبيق سهل وتوصيل جيد,4,2025-05-05,جدة,latest
Mostaql,google_play,عمل_حر,تجربة رائعة ننصح بها,5,2025-05-05,الرياض,latest
Sary,google_play,عمل_حر,منصة موثوقة جداً,5,2025-05-05,جدة,latest
Bolt,google_play,نقل,مقبول لكن يمكن أفضل,3,2025-05-06,الرياض,latest
Jeeny,google_play,نقل,خدمة عادية,3,2025-05-06,الرياض,latest
Kayan,google_play,نقل,سائق محترم وسيارة نظيفة,5,2025-05-06,الرياض,latest
Careem,google_play,نقل,تجربة جيدة بشكل عام,4,2025-05-07,الدمام,latest
Careem,google_play,نقل,تجربة جيدة بشكل عام,4,2025-05-07,جدة,latest
Bolt,google_play,نقل,التطبيق جيد لكن الأسعار مرتفعة,3,2025-05-07,مكة المكرمة,latest
Jeeny,google_play,نقل,خدمة رائعة ننصح بها,5,2025-05-07,تبوك,latest
HungerStation,google_play,توصيل,الطلب وصل ناقص ولا تعويض,2,2025-05-07,المدينة المنورة,latest
Mrsool,google_play,توصيل,توصيل سريع والطلب مكتمل,4,2025-05-07,جدة,latest
TheChefs,google_play,توصيل,توصيل سريع والطلب مكتمل,4,2025-05-07,الدمام,latest
Khamsat,google_play,عمل_حر,منصة موثوقة جداً,5,2025-05-07,الرياض,latest
Sary,google_play,عمل_حر,مقبولة للمبتدئين,3,2025-05-07,الدمام,latest
Bolt,google_play,نقل,تطبيق سهل الاستخدام,4,2025-05-08,مكة المكرمة,latest
Bolt,google_play,نقل,تجربة جيدة بشكل عام,4,2025-05-08,الرياض,latest
Jeeny,google_play,نقل,خدمة رائعة ننصح بها,5,2025-05-08,الدمام,latest
HungerStation,google_play,توصيل,خدمة رائعة دائماً,5,2025-05-08,الرياض,latest
HungerStation,google_play,توصيل,الطلب وصل بارداً وناقصاً,1,2025-05-08,الرياض,latest
TheChefs,google_play,توصيل,الطعام وصل طازجاً,4,2025-05-08,الدمام,latest
TheChefs,google_play,توصيل,خدمة عادية,3,2025-05-08,الرياض,latest
Bolt,google_play,نقل,الأسعار مبالغ فيها كثيراً,1,2025-05-09,مكة المكرمة,latest
Jeeny,google_play,نقل,خدمة عادية,3,2025-05-09,جدة,latest
HungerStation,google_play,توصيل,الطلب وصل لكن متأخر,3,2025-05-09,الدمام,latest
HungerStation,google_play,توصيل,توصيل سريع والطلب مكتمل,4,2025-05-09,الدمام,latest
HungerStation,google_play,توصيل,تجربة جيدة,4,2025-05-09,جدة,latest
Keeta,google_play,توصيل,الطعام وصل طازجاً,4,2025-05-09,الرياض,latest
Uber,google_play,نقل,الانتظار طويل أحياناً,2,2025-05-10,الدمام,latest
Jeeny,google_play,نقل,بعض السائقين غير محترفين,2,2025-05-10,الخبر,latest
Kayan,google_play,نقل,خدمة جيدة والسائقين محترمين,4,2025-05-10,الرياض,latest
Jahez,google_play,توصيل,خدمة رائعة دائماً,5,2025-05-10,مكة المكرمة,latest
Jahez,google_play,توصيل,تجربة جيدة,4,2025-05-10,جدة,latest
Mrsool,google_play,توصيل,الطعام وصل طازجاً,4,2025-05-10,الرياض,latest
ToYou,google_play,توصيل,أسوأ تجربة توصيل,1,2025-05-10,الخبر,latest
Sary,google_play,عمل_حر,المنصة لا تحمي الفريلانسر,1,2025-05-10,الرياض,latest
Sary,google_play,عمل_حر,منافسة غير عادلة بالأسعار,1,2025-05-10,الطائف,latest
Sary,google_play,عمل_حر,مقبولة للمبتدئين,3,2025-05-10,الرياض,latest
Careem,google_play,نقل,التطبيق يعلق أحياناً,2,2025-05-11,الرياض,latest
Careem,google_play,نقل,خدمة جيدة والسائقين محترمين,4,2025-05-11,تبوك,latest
Jahez,google_play,توصيل,مقبول لكن يحتاج تطوير,3,2025-05-11,الرياض,latest
Mrsool,google_play,توصيل,تجربة مميزة جداً,5,2025-05-11,جدة,latest
Mrsool,google_play,توصيل,تجربة جيدة,4,2025-05-11,أبها,latest
TheChefs,google_play,توصيل,تطبيق سهل وتوصيل جيد,4,2025-05-11,الرياض,latest
TheChefs,google_play,توصيل,خدمة رائعة دائماً,5,2025-05-11,الرياض,latest
TheChefs,google_play,توصيل,تجربة مميزة جداً,5,2025-05-11,جدة,latest
TheChefs,google_play,توصيل,توصيل سريع جداً والطعام ممتاز,5,2025-05-11,الرياض,latest
Mostaql,google_play,عمل_حر,المنصة لا تحمي الفريلانسر,1,2025-05-11,جدة,latest
HungerStation,google_play,توصيل,التوصيل أبطأ من المعتاد,2,2025-05-12,الرياض,latest
ToYou,google_play,توصيل,التوصيل أبطأ من المعتاد,2,2025-05-12,المدينة المنورة,latest
Keeta,google_play,توصيل,الطعام وصل طازجاً,4,2025-05-12,جدة,latest
Khamsat,google_play,عمل_حر,تجربة جيدة بشكل عام,4,2025-05-12,مكة المكرمة,latest
Uber,google_play,نقل,تجربة سيئة جداً لن أكرر,1,2025-05-13,المدينة المنورة,latest
Uber,google_play,نقل,خدمة متوسطة تحتاج تحسين,3,2025-05-13,الدمام,latest
Jeeny,google_play,نقل,أفضل تطبيق نقل,5,2025-05-13,الرياض,latest
Wasselni,google_play,نقل,خدمة متوسطة تحتاج تحسين,3,2025-05-13,مكة المكرمة,latest
Kayan,google_play,نقل,خدمة جيدة والسائقين محترمين,4,2025-05-13,جدة,latest
HungerStation,google_play,توصيل,خدمة رائعة دائماً,5,2025-05-13,الدمام,latest
Khamsat,google_play,عمل_حر,أفضل منصة عمل حر عربية,5,2025-05-13,الدمام,latest
Sary,google_play,عمل_حر,حصلت على عملاء ممتازين,5,2025-05-13,الدمام,latest
Mrsool,google_play,توصيل,تجربة جيدة,4,2025-05-14,جدة,latest
